id;avatar;avatar_content_type;real_name;tel;job_title;job_desc;job_career_desc;enable;del_flag;order_num;last_modify_date;last_modify_by
1;../fake-data/blob/hipster.png;image/png;back-end withdrawal Salvador;Tala haptic SMS;National Creative Coordinator;Marketing;../fake-data/blob/hipster.txt;false;false;60841;2021-05-17T07:26:43;Taka
2;../fake-data/blob/hipster.png;image/png;Soft;haptic SAS;Customer Mobility Associate;Licensed;../fake-data/blob/hipster.txt;true;true;48572;2021-05-17T03:12:34;Unbranded Electronics
3;../fake-data/blob/hipster.png;image/png;Internal 路 XSS;area;Principal Tactics Liaison;ivory;../fake-data/blob/hipster.txt;false;false;81565;2021-05-17T05:42:37;Sleek
4;../fake-data/blob/hipster.png;image/png;Movies;Stand-alone Grenadines;National Research Assistant;intermediate multi-byte Northern;../fake-data/blob/hipster.txt;false;false;58893;2021-05-17T23:36:01;encompassing Savings
5;../fake-data/blob/hipster.png;image/png;Ouguiya challenge withdrawal;THX Avon;Principal Optimization Planner;Metal Automotive 甘肃省;../fake-data/blob/hipster.txt;false;true;23274;2021-05-17T13:38:11;Forward
6;../fake-data/blob/hipster.png;image/png;巷;Reduced 侬;Human Division Strategist;Monitored pixel Electronics;../fake-data/blob/hipster.txt;false;false;10611;2021-05-17T21:50:32;Fully-configurable impactful
7;../fake-data/blob/hipster.png;image/png;blue Liaison;Kids 甘肃省 withdrawal;Global Markets Executive;Wooden;../fake-data/blob/hipster.txt;true;true;75383;2021-05-17T03:30:24;calculate mission-critical Refined
8;../fake-data/blob/hipster.png;image/png;Fresh;efficient;Customer Group Consultant;Interactions Russian;../fake-data/blob/hipster.txt;true;false;64970;2021-05-17T04:49:11;Savings copy
9;../fake-data/blob/hipster.png;image/png;input;SSL;National Applications Developer;Soft;../fake-data/blob/hipster.txt;false;true;65576;2021-05-17T02:36:58;mobile
10;../fake-data/blob/hipster.png;image/png;application;interface Shoes eyeballs;Dynamic Mobility Specialist;Account;../fake-data/blob/hipster.txt;true;false;30205;2021-05-17T18:08:27;SSL calculating
