id;name;long_code;address;tel;email;manager_name;enable
1;桥;benchmark;Loan payment;transparent 旁;子涵23@hotmail.com;Representative;true
2;orchid;Handcrafted Metal Berkshire;backing drive Steel;Ball Metal Automotive;鸿煊93@hotmail.com;Rubber Central standardization;true
3;SCSI;Tuna architecture Awesome;standardization Borders Awesome;District Graphic;鹏煊34@yahoo.com;magnetic Grass-roots;true
4;Caribbean;Investment 街 application;Mouse magnetic SCSI;Account definition Computer;思源39@gmail.com;Bolivia;true
5;vertical;Quality Sausages;Montserrat redundant monetize;payment 路;嘉懿.姚14@yahoo.com;bricks-and-clicks unleash;false
6;RAM synthesize bypassing;Bedfordshire Response 桥;leverage Executive target;Toys;伟祺_姚@gmail.com;navigate;false
7;Handcrafted Awesome;programming;Personal;network Soap invoice;鸿煊2@hotmail.com;indexing Shirt wireless;false
8;Chips;connect;Soft Generic content-based;generate Account;晓博53@hotmail.com;aggregate microchip Gabon;false
9;Applications deposit;Object-based Upgradable azure;Guadeloupe;input success;越彬61@gmail.com;Multi-layered;false
10;Fish;digital 中心;transmitter Gorgeous;emulation Ergonomic 中心;越彬_唐@gmail.com;江西省 content-based transmitting;true
