id;parent_id;ancestors;dept_name;order_num;leader_name;tel;email;enable;del_flag;create_by;create_date;last_modify_by;last_modify_date
1;14759;山西省 withdrawal partnerships;Cambridgeshire Borders Mali;9126;Manager payment Tasty;invoice 山西省;金鑫_何@hotmail.com;false;false;AI Fundamental array;2021-05-30T13:55:38;甘肃省 black Legacy;2021-05-30T18:25:57
2;32636;Specialist;Cheese;17702;synthesize withdrawal;Hat Intelligent;正豪.余99@gmail.com;false;false;teal Costa;2021-05-30T09:45:31;invoice;2021-05-31T00:36:37
3;37930;Berkshire;Shirt;26773;Baby;Games Ergonomic 24/7;天磊_金18@yahoo.com;false;true;partnerships;2021-05-30T20:23:21;robust 浙江省;2021-05-30T11:03:51
4;42787;Rubber;SSL;65891;copy data-warehouse synthesizing;Incredible;越彬_毛@hotmail.com;false;false;parse;2021-05-30T11:12:26;Account;2021-05-30T18:08:49
5;46211;system envisioneer;Gloves;1128;Table Granite;methodologies Computers;天磊.梁@gmail.com;true;false;栋 compressing RSS;2021-05-30T09:45:03;Account 路 Direct;2021-05-31T00:35:11
6;97678;synthesizing Data JBOD;green;14118;RAM deposit Omani;栋 Borders;果.杨44@hotmail.com;true;false;Steel Developer Garden;2021-05-30T04:17:03;navigating 北京市;2021-05-30T20:47:34
7;88116;defect state;invoice JSON;76815;channels;Tasty;哲瀚92@gmail.com;true;true;Robust;2021-05-30T11:48:23;optical;2021-05-30T10:33:13
8;75044;supply-chains 巷;bypassing;71388;ivory Qatar Gorgeous;Money;钰轩_杜59@hotmail.com;false;true;instruction Forward override;2021-05-31T00:25:36;Engineer purple Internal;2021-05-30T17:55:23
9;50360;transmitting;旁 brand;61578;Fantastic Books 桥;wireless Handcrafted visualize;正豪.阎78@gmail.com;false;false;Zealand;2021-05-30T18:29:05;French Customer;2021-05-30T02:19:18
10;6012;Loan;solution workforce;79245;Infrastructure;invoice;文轩27@yahoo.com;true;true;connecting deposit supply-chains;2021-05-30T11:41:11;Automotive Shoes architecture;2021-05-31T00:45:27
